11724676	lee yew wong fu	nonhodgkins pleural lymphoma in longstanding tuberculous pyothorax mimicking suppuration	Int_J_Infect_Dis.
20348311	lee son lee park lee	development of a conditional gene expression system using a zearalenoneinducible promoter for the ascomycete fungus gibberella zeae	the ascomycete fungus gibberella zeae be a important plant pathogen that cause fusarium head blight on small grain molecular study of this fungus have be perform extensively to uncover the biological mechanism relate to pathogenicity toxin production and sexual reproduction molecular method such as target gene deletion gene overexpression and gene fusion to green fluorescent protein lrb gfp rrb be relatively easy to perform with this fungus however conditional expression system have not be develop the purpose of this study be to identify a promoter that could be induce by zearalenone lrb zea rrb for the development of a conditional expression system in g zeae through microarray analysis we isolate one zearalenone response gene lrb zear rrb whose expression be increase more than 50 time after zea treatment northern blot analysis show that the zear transcript dramatically increase after 1 h of zea treatment to determine the utility of the zear promoter call pzear in a conditional expression system we transform a pzear gfp fusion construct into g zeae we datum show a zea concentrationdependent increase in gfp expression we also replace the promoter of g zeae mete lrb gzmete rrb a essential gene for methionine biosynthesis with the pzear promoter the growth of the pzeargzmete mutant on minimal medium be dependent on the zea concentration supplement in the medium and show that gzmete expression be induce by zea this study be the first report of a inducible promoter in g zeae we system will be useful for the characterization of essential gene function in this fungus through differential and zeadependent gene expression in addition the pzear promoter may be applicable as a biosensor for the detection of zea contamination in agricultural product	Appl_Environ_Microbiol.
20836989	lee park kim kim lee	identification and functional characterization of genes involved in the sexual reproduction of the ascomycete fungus gibberella zeae	we previously report that g protein alpha subunit 1 lrb gpa1 rrb be essential for sexual reproduction in the homothallic ascomycete fungus gibberella zeae in this study we perform microarray analysis on a gpa1 deletion mutant of g zeae lrb gpa1 rrb to identify gene involve in the sexual reproduction of this fungus in the gpa1 strain 645 gene be downregulate and 550 gene be upregulate during sexual reproduction when compare to the wildtype strain one hundred of the downregulate gene be select for further investigation base on orthologous group cluster and difference in transcript level quantitative real timepcr be use to determine transcriptional profile of these gene at various sexual and vegetative stage we observe that transcript level of 78 of these gene be dramatically increase in the wildtype strain during sexual reproduction compare to level observe during vegetative growth and be downregulate in gpa1 compare to the wildtype strain we delete 57 of these gene and find that four of the deletion mutant lose selffertility and five produce fewer perithecia compare to the wildtype strain two mutant produce wildtype number of perithecia but maturation of perithecia and ascospore be delay in all we identify 11 gene that be involve in sexual reproduction of g zea and present evidence that some of these gene function at distinct stage during sexual reproduction in the fungus	Biochem_Biophys_Res_Commun.
22287004	lee kim jeon kim zeller carter leslie lee	population structure of and mycotoxin production by fusarium graminearum from maize in south korea	fusarium graminearum lrb gibberella zeae rrb be a important pathogen of wheat maize barley and rice in south korea and harvest grain often be contaminate with trichothecene such as deoxynivalenol and nivalenol in this study we examine 568 isolate of f graminearum collect from maize at eight location in south korea we use amplify fragment length polymorphism lrb aflp rrb to identify four lineage lrb 2 3 6 and 7 rrb lineage 7 be the most common lrb 75 rrb follow by lineage 6 lrb 12 rrb lineage 3 lrb 12 rrb and lineage 2 lrb 1 rrb the genetic identity among population be high lrb 098 rrb and the effective migration rate between location be higher than that between lineage female fertility vary by lineage all lineage 7 isolate be fertile while 70 26 and 14 of the isolate in lineage 6 3 and 2 respectively be fertile all lineage 3 and lineage 7 isolate produce deoxynivalenol whereas most lineage 2 and 6 isolate produce nivalenol genotypic diversity in lineage 3 and lineage 6 population be similar to that find in previously describe korean rice population but genotypic diversity in lineage 7 be much lower even though similar level of gene flow occur between lineage 7 population we conclude that lineage 7 be relatively recently introduce into south korea perhaps accompany import maize seed	Appl_Environ_Microbiol.
22516221	lee myong kim kim yun lee	fgvelb globally regulates sexual reproduction mycotoxin production and pathogenicity in the cereal pathogen fusarium graminearum	the velvet gene be conserve in ascomycetous fungus and function as global regulator of differentiation and secondary metabolism here we characterize one of the velvet gene designate fgvelb in the plantpathogenic fungus fusarium graminearum which cause fusarium head blight in cereal and produce mycotoxin within plant fgvelbdeleted lrb fgvelb rrb strain produce fewer aerial mycelia with less pigmentation than those of the wildtype lrb wt rrb during vegetative growth under sexual development condition the fgvelb strain produce no fruiting body but retain male fertility and conidiation be threefold higher compare with the wt strain production of trichothecene and zearalenone be dramatically reduce compare with the wt strain in addition the fgvelb strain be incapable of colonize host plant tissue transcript analysis reveal that fgvelb be highly express during the sexual development stage and may be regulate by a mitogenactivated protein kinase cascade microarray analysis show that fgvelb affect regulatory pathway mediate by the matingtype locus and a gprotein alpha subunit as well as primary and secondary metabolism these result suggest that fgvelb have diverse biological function probably by act as a member of a possible velvet protein complex although identification of the fgvelbfgvea complex and the determination of its role require further investigation	Microbiology.
17055192	lee cordaux han wang hedges liang batzer	different evolutionary fates of recently integrated human and chimpanzee line1 retrotransposons	the long intersperse element1 lrb line1 or l1 rrb be a highly successful retrotransposon in mammal l1 element have continue to actively propagate subsequent to the humanchimpanzee divergence approximately 6 million year ago result in speciesspecific insert here we report a detailed characterization of chimpanzeespecific l1 subfamily diversity and a comparison with they humanspecific counterpart we result indicate that l1 element have experience different evolutionary fate in human and chimpanzee within the past approximately 6 million year although the speciesspecific l1 copy number be on the same order in both species lrb 12002000 copy rrb the number of retrotranspositioncompetent element appear to be much higher in the human genome than in the chimpanzee genome also while human l1 subfamily belong to the same lineage we identify two lineage of recently integrate l1 subfamily in the chimpanzee genome the two lineage seem to have coexist for several million year but only one show evidence of expansion within the past three million year these differential evolutionary path may be the result of random variation or the product of competition between l1 subfamily lineage we result suggest that the coexistence of several l1 subfamily lineage within a species may be resolve in a very short evolutionary period of time perhaps in just a few million year therefore the chimpanzee genome constitute a excellent model in which to analyze the evolutionary dynamics of l1 retrotransposon	Gene.
19112500	lee han meyer kim batzer	chromosomal inversions between human and chimpanzee lineages caused by retrotransposons	the long intersperse element1 lrb line1 or l1 rrb and alu element be the most abundant mobile element comprise 21 and 11 of the human genome respectively since the divergence of human and chimpanzee lineage these element have vigorously create chromosomal rearrangement cause genomic difference between human and chimpanzee by either increase or decrease the size of genome here we report a exotic mechanism retrotransposon recombinationmediated inversion lrb rrmi rrb that usually do not alter the amount of genomic material present through the comparison of the human and chimpanzee draft genome sequence we identify 252 inversion whose respective inversion junction can clearly be characterize we result suggest that l1 and alu element cause chromosomal inversion by either form a secondary structure or provide a fragile site for doublestrand break the detailed analysis of the inversion breakpoint show that l1 and alu element be responsible for at least 44 of the 252 inversion locus between human and chimpanzee lineage include 49 rrmi locus among they three rrmi locus inverted exonic region in known gene which implicate this mechanism in generate the genomic and phenotypic difference between human and chimpanzee lineage this study be the first comprehensive analysis of mobile element basis inversion breakpoint between human and chimpanzee lineage and highlight they role in primate genome evolution	PLoS_One.
22400009	lee mun meyer han	high levels of sequence diversity in the 5 utrs of humanspecific l1 elements	approximately 80 long intersperse element lrb line1 or l1 rrb copy be able to retrotranspose actively in the human genome and these be term retrotranspositioncompetent l1 the 5 untranslated region lrb utr rrb of the humanspecific l1 contain a internal promoter and several transcription factor bind site to better understand the effect of the l1 5 utr on the evolution of humanspecific l1 we examine this population of element focus on the sequence diversity and accumulate substitution within they 5 utr use network analysis we estimate the age of each l1 component lrb the 5 utr orf1 orf2 and 3 utr rrb through the comparison of the l1 component base on they estimate age we find that the 5 utr of humanspecific l1 accumulate mutation at a faster rate than the other component to further investigate the l1 5 utr we examine the substitution frequency per nucleotide position among they the result show that the l1 5 utr share relatively conserve transcription factor bind site despite they high sequence diversity thus we suggest that the high level of sequence diversity in the 5 utr could be one of the factor control the number of retrotranspositioncompetent l1 in the human genome during the evolutionary battle between l1 and they host genome	Comp_Funct_Genomics.
22666087	lee ha son han	human genomic deletions generated by svaassociated events	mobile element be responsible for half of the human genome among the element l1 and alu be most ubiquitous they use l1 enzymatic machinery to move in they host genome a significant amount of research have be conduct about these two element the result show that these two element have play important role in generate genomic variation between human and chimpanzee lineage and even within a species through various mechanism sva element be a third type of mobile element which use the l1 enzymatic machinery to propagate in the human genome but have not be study much relative to the other element here we attempt the first identification of the human genomic deletion cause by sva element through the comparison of human and chimpanzee genome sequence we identify 13 sva recombinationassociated deletion lrb srad rrb and 13 sva insertionmediated deletion lrb simd rrb in the human genome and characterize they focus on deletion size and the mechanism cause the event the result show that the srad and simd have delete 15752 and 30785 bp respectively in the human genome since the divergence of human and chimpanzee and that srad be cause by two different mechanism nonhomologous end join and nonallelic homologous recombination	Comp_Funct_Genomics.
19595677	lee lund-smith borboa gonzalez baird eliceiri	gliomainduced remodeling of the neurovascular unit	the normal bbb lrb bloodbrain barrier rrb consist of a series of structure collectively know as neurovascular unit or nvu that be compose of endothelial cell and astrocyte endfeet separate by a basal lamina at they interface the integrity of the bbb and specifically endothelial tight junction be maintain by interaction between these different component and the local microenvironment of the nvu central nervous system cancer such as glioma disrupt the integrity of the bbb and this compromise be associate with increase tumor growth and invasion of the surround brain parenchyma because the relationship between gliomainduced bbb breakdown and glioma invasion remain poorly understand and the host microenvironment can influence tumor cell migration we use immunohistochemical technique to characterize tumor associated bbb remodeling use a orthotopic xenograft model of glioma we demonstrate that tumor cell induce specific change in the composition of the basal lamina and in astrocytic component of the nvu we suggest that these change may be essential to understand the capacity of glioma to regulate bbb integrity and as such glioma invasion into brain parenchyma	Brain_Res.
21159635	lee borboa chun baird eliceiri	conditional deletion of the focal adhesion kinase fak alters remodeling of the bloodbrain barrier in glioma	glioma generally infiltrate the surround normal brain parenchyma a process associate with increase vascular permeability lrb vp rrb and dysregulation of the bloodbrain barrier lrb bbb rrb however the molecular mechanism underlie gliomainduced vp in the brain remain poorly understand use a conditional endotheliumspecific deletion of the focal adhesion kinase lrb fak rrb in the mouse lrb fak cko rrb we show that fak be critical for destabilization of the tumor endothelium in tumorbearing mouse with mutant mouse exhibit a relatively normalize vasculature compare with wildtype mouse lrb fak wt rrb tumor vessel in the fak cko mouse display reduce vp compare with fak wt mouse result in reduce tumor growth additionally fak cko mouse display partial restoration of cellcell junction protein in the tumor vessel and astrocyteendothelium interaction in tumor reveal a additional role of astrocyte in mediate tumorinduced vp together these result provide genetic evidence that fak be a mediator of tumorinduced vp in the brain we finding may help understand how therapeutics might be use to regulate specific celltype interaction to restore bbb structurefunction in cancer and perhaps other pathologic condition	Cancer_Res.
21247490	lee borboa baird eliceiri	noninvasive quantification of brain tumorinduced astrogliosis	cns injury include stroke infection and tumor growth lead to astrogliosis a process that involve upregulation of glial fibrillary acidic protein lrb gfap rrb in astrocyte however the kinetics of astrogliosis that be related to these insult lrb ie tumor rrb be largely unknown use transgenic mouse express firefly luciferase under the regulation of the gfap promoter lrb gfapluc rrb we develop a model system to monitor astrogliosis upon tumor growth in a rapid noninvasive manner a biphasic induction of astrogliosis be observe in we xenograft model in which a early phase of activation of gfap be associate with inflammatory response follow by a secondary longterm upregulation of gfap these animal reveal gfap activation with kinetics that be in parallel with tumor growth furthermore a strong correlation between astrogliosis and tumor size be observe we result suggest that noninvasive quantitative bioluminescent imaging use gfapluc reporter animal be a useful tool to monitor temporalspatial kinetics of hostmediated astrogliosis that be associate with glioma and metastatic brain tumor growth	BMC_Neurosci.
21874468	lee baird eliceiri	in vivo measurement of gliomainduced vascular permeability	the normal bloodbrain barrier lrb bbb rrb consist of tight interendothelial cell junction and adjacent astrocyte end foot separate by a basal lamina surround the endothelium the interaction between the different cell type of bbb be disrupt in distinct pattern in the microenvironment of glioma malignant glioma infiltrate the surround normal brain parenchyma a process associate with vascular permeability lrb vp rrb and breakdown of the bbb herein we describe method to quantitatively measure gliomainduced vascular permeability utilize a orthotopic xenograft model of glioma	Methods_Mol_Biol.
18575537	lee kim	numerical investigation of quasicoplanar plasmonic waveguidebased photonic components	use 3dimensional numerical simulation we investigate the characteristic and performance of essential photonic component base on the recently propose quasicoplanar waveguide lrb qcpw rrb include bend coupler and splitter the result confirm the qcpw s potential in high density photonic integration we also explore the application of various rforiginated concept and technique to qcpwbased photonic component to enhance and enrich they functionality	Opt_Express.
21964098	lee kim	elastomeric microwirebased optical gas flowmeter with stretchingenabled tunability in measurement range	we report the utilization of transparent poly lrb dimethylsiloxane rrb lrb pdms rrb microwire as the transducer for optical gas flowmetry the elasticity of the pdms microwire be exploit not only to miniaturize and simplify the flowmeter but also to widen and tune the measurement range through mechanical stretch use a 9 mm long microwire we achieve 28 98 dbslm sensitivity a 500 m stretch of the microwire also shift the measurement range from 1 to 4 slm the experimental result agree well with prediction base on the fluid dynamicoptical model	Opt_Lett.
22699280	lee paek kim	sucrosebased fabrication of 3dnetworked cylindrical microfluidic channels for rapid prototyping of labonachip and vasomimetic devices	we present a new fabrication scheme for 3dnetworked cylindrical microfluidic lrb mf rrb channel base on shaping bonding and assembly of sucrose fiber it be a simple cleanroomfree and environmentfriendly method ideal for rapid prototyping of labonachip device despite its simplicity it can realize complex 3d mf channel architecture such as cylindrical taper internal loop endtoside junction taper junction and stenosis the last two will be of special use for realize vasomimetic mf structure it also enable molding with polymer incompatible with hightemperature processing	Lab_Chip.
22858863	lee paek kim	a biomimetic massflow transducer utilizing alloptofluidic generation of selfdigitized pulse codemodulated optical pulse trains	we present a new massflow transducer produce response in the form of optical pulse train that be encode with information on the strength and position of the stimulus we implement the selfdigitization and encode capability alloptofluidically without involve external electronics by integrate one optical fiber cantilever with multiple polymer optical waveguide on a microfluidic platform the transducer can also be configure to respond only to transitional stimulus these feature closely mimic the ratecoding action potential labeling and rapid adaptation process observe in biological mechanoreceptor and allow multiple transducer to transmit signal over a single shared channel we fabricate the transducer use polymerbased softlithography technique its characterization confirm the stimulus strengthdependent generation of optical pulse and the feasibility of multiplex 2 lrb n1 rrb to 2 lrb n rrb transducer use n waveguide	Lab_Chip.
17656319	lee burdette macrenaris mustafi woodruff meade	rational design synthesis and biological evaluation of progesteronemodified mri contrast agents	a series of contrast agent for magnetic resonance imaging lrb mri rrb aim at noninvasively determine the hormone receptor status of cancer in vitro be develop these mri contrast agent be prepare by conjugate progesterone to clinically use gd lrb iii rrb chelate these agent exhibit higher progesterone receptor binding affinity in the nanomolar range and intracellular accumulation high logp value of the modify compound suggest that the lipophilicity of the steroid conjugate may have contribute to membrane permeability synchrotron radiation xray fluorescence microscopy and magnetic resonance image reveal that the synthesize conjugate show the greatest cellular accumulation and significant increase in relaxivity in vitro compare to the previously develop steroidmodified agent transcriptional assay use the progesterone response element link to luciferase indicate that the contrast agent enter the cell interact with the biological target and drive specific progesteronemediated transcription	Chem_Biol.
20017516	lee bogyo	development of nearinfrared fluorophore nirflabeled activitybased probes for in vivo imaging of legumain	asparaginyl endopeptidase or legumain be a lysosomal cysteine protease that be originally identify in plant and later find to be involve in antigen presentation in higher eukaryote legumain be also upregulate in a number of human cancer and recent study suggest that it may play important functional role in the process of tumorigenesis however detailed functional study in relevant animal model of human disease have be hinder by the lack of suitably selective small molecule inhibitor and imaging reagent here we present the design optimization and in vivo application of fluorescently label activitybased probe lrb abp rrb for legumain we demonstrate that optimize azapeptidyl asn epoxide be highly selective and potent inhibitor that can be readily convert into nearinfrared fluorophorelabeled abp for whole body noninvasive imaging application we show that these probe specifically label legumain in various normal tissue as well as in solid tumor when apply in vivo interestingly addition of cellpenetrating peptide to the probe enhance cellular uptake but result in increase crossreactivity toward other lysosomal protease as the result of they accumulation in lysosome overall we find that azapeptidyl asn abp be valuable new tool for the future study of legumain function in more complex model of human disease	ACS_Chem_Biol.
22243962	lee bogyo	synthesis and evaluation of azapeptidyl inhibitors of the lysosomal asparaginyl endopeptidase legumain	legumain or asparaginly endopeptidase lrb aep rrb be a lysosomal cysteine protease with a high level of specificity for cleavage of protein substrate after a asparagine residue it be also capable of cleave after aspartic acid site when in the acidic environment of the lysosome legumain expression and activity be link to a number of pathological condition include cancer atherosclerosis and inflammation yet its biological role in these pathology be not wellunderstood highly potent and selective inhibitor of legumain would not only be valuable for study the functional role of legumain in these condition but may have therapeutic potential as well we describe here the design synthesis and in vitro evaluation of selective legumain inhibitor base on the azaasparaginyl scaffold we synthesize a library of azapeptidyl inhibitor with various nonnatural amino acid and different electrophilic warhead and characterize the kinetic property of inactivation of legumain we also synthesize fluorescently label inhibitor to investigate cell permeability and selectivity of the compound the inhibitor have second order rate constant of up to 5 10 lrb 4 rrb m lrb 1 rrb s lrb 1 rrb and ic lrb 50 rrb value as low as 4 nm against recombinant mouse legumain in addition the inhibitor be highly selective toward legumain and have little or no crossreactivity with cathepsin overall we have identify several valuable new inhibitor of legumain that can be use to study legumain function in multiple disease model	Bioorg_Med_Chem_Lett.
23337810	lee bogyo	target deconvolution techniques in modern phenotypic profiling	the past decade have see rapid growth in the use of diverse compound library in classical phenotypic screen to identify modulator of a give process the subsequent process of identify the molecular target of active hit also call target deconvolution be a essential step for understand compound mechanism of action and for use the identify hit as tool for further dissection of a give biological process recent advance in omic technology couple with in silico approach and the reduce cost of whole genome sequencing have greatly improve the workflow of target deconvolution and have contribute to a renaissance of modern phenotypic profiling in this review we will outline how both new and old technique be be use in the difficult process of target identification and validation as well as discuss some of the ongoing challenge remain for phenotypic screening	Curr_Opin_Chem_Biol.
11934847	lee inoue ono ogonuki kohda kaneko-ishino ogura ishino	erasing genomic imprinting memory in mouse clone embryos produced from day 115 primordial germ cells	genomic imprint be a epigenetic mechanism that cause functional difference between paternal and maternal genome and play a essential role in mammalian development stagespecific change in the dna methylation pattern of imprinted gene suggest that they imprint be erase some time during the primordial germ cell lrb pgc rrb stage before they gametic pattern be reestablish during gametogenesis accord to the sex of individual to define the exact timing and pattern of the erasure process we have analyze parentaloriginspecific expression of imprinted gene and dna methylation pattern of differentially methylate region lrb dmr rrb in embryo each derive from a single day 115 to day 135 pgc by nuclear transfer clone embryo produce from day 125 to day 135 pgc show growth retardation and early embryonic lethality around day 95 imprinted gene lose they parentaloriginspecific expression pattern completely and become biallelic or silence we confirm that clone derive from both male and female pgc give the same result demonstrate the existence of a common default state of genomic imprint to male and female germline when we produce clone embryo from day 115 pgc they development be significantly improve allow they to survive until at least the day 115 embryonic stage interestingly several intermediate state of genomic imprint between somatic cell state and the default state be see in these embryo loss of the monoallelic expression of imprinted gene proceed in a stepwise manner coordinate specifically for each imprinted gene dna demethylation of the dmr of the imprinted gene in exact accordance with the loss of they imprinted monoallelic expression be also observe analysis of dna methylation in day 105 to day 125 pgc demonstrate that pgc clone represent the dna methylation status of donor pgc well these finding provide strong evidence that the erasure process of genomic imprint memory proceeds in the day 105 to day 115 pgc with the timing precisely control for each imprinted gene the nuclear transfer technique enable we to analyze the imprint status of each pgc and clearly demonstrate a close relationship between expression and dna methylation pattern and the ability of imprinted gene to support development	Development.
17428826	lee kanatsu-shinohara inoue ogonuki miki toyokuni kimura nakano ogura shinohara	akt mediates selfrenewal division of mouse spermatogonial stem cells	spermatogonial stem cell have unique property to selfrenew and support spermatogenesis throughout they lifespan although glial cell linederived neurotrophic factor lrb gdnf rrb have recently be identify as a selfrenewal factor for spermatogonial stem cell the molecular mechanism of spermatogonial stem cell selfrenewal remains unclear in the present study we assess the role of the phosphoinositide3 kinase lrb pi3k rrb akt pathway use a germline stem lrb gs rrb cell culture system that allow in vitro expansion of spermatogonial stem cell akt be rapidly phosphorylate when gdnf be add to the gs cell culture and the addition of a chemical inhibitor of pi3k prevent gs cell selfrenewal furthermore conditional activation of the myristoylate form of aktmer lrb myraktmer rrb by 4hydroxytamoxifen induce logarithmic proliferation of gs cell in the absence of gdnf for at least 5 month the myraktmer gs cell express spermatogonial marker and retain androgenetic imprint pattern in addition they support spermatogenesis and generate offspring follow spermatogonial transplantation into the testis of infertile recipient mouse indicate that they be functionally normal these result demonstrate that activation of the pi3kakt pathway play a central role in the selfrenewal division of spermatogonial stem cell	Development.
19020300	lee kanatsu-shinohara ogonuki miki inoue morimoto morimoto ogura shinohara	heritable imprinting defect caused by epigenetic abnormalities in mouse spermatogonial stem cells	male germ cell undergo dynamic epigenetic reprogramming during fetal development eventually establish spermatogonial stem cell lrb ssc rrb that can convert into pluripotent stem cell however little be know about the developmental potential of fetal germ cell and how they mature into ssc we develop a culture system for fetal germ cell that proliferate for long period of time male germ cell from embryo 12518 5 day postcoitum could expand by glial cell linederived neurotrophic factor a selfrenewal factor for ssc these cell do not form teratoma but repopulate seminiferous tubule and produce spermatogenesis exhibit spermatogonia potential however the offspring from culture cell show growth abnormality and be defective in genomic imprint the imprint defect persist in both the male and female germline for at least four generation moreover germ cell in the offspring show abnormal histone modification and dna methylation pattern these result indicate that fetal germ cell have a limited ability to become pluripotent cell and lose the ability to undergo epigenetic reprogramming by in vitro culture	Biol_Reprod.
19570516	lee kanatsu-shinohara morimoto kazuki takashima oshimura toyokuni shinohara	genetic reconstruction of mouse spermatogonial stem cell selfrenewal in vitro by rascyclin d2 activation	spermatogonial stem cell lrb ssc rrb undergo selfrenewal division and support spermatogenesis although several cytokine coordinate to drive ssc selfrenewal little be know about the mechanism underlie this process we investigate the molecular mechanism by reconstruct ssc selfrenewal in vitro without exogenous cytokine activation of ras or overexpression of cyclin d2 and e1 both of which be induce by ras enable longterm selfrenewal of culture spermatogonia ssc with activate ras respond properly to differentiation signal and undergo spermatogenesis whereas differentiation be abrogate in cyclin transfectant after spermatogonial transplantation both ras and cyclintransfected cell produce seminomatous tumor suggest that excessive selfrenewing stimulus induce oncogenic transformation in contrast cell that overexpress cyclin d1 or d3 fail to make germ cell colony after transplantation which indicate that cyclin expression pattern be a important determinant to longterm ssc recolonization thus the rascyclin d2 pathway regulate the balance between tissue maintenance and tumorigenesis in the ssc population	Cell_Stem_Cell.
11460620	lee deininger fleece	rapid determination of bacteria in pools	if a method for rapid determination of bacterial level in swimming pool and whirlpool be available bacterial health risk could be avoid before exposure occur such a method would enable publichealth authority to make timely decision about close or reopen pool and to adjust disinfectant dose the purpose of this study be to determine if a rapid adenosine triphosphate lrb atp rrb bioluminescence method would serve this purpose bacteriological analysis be complete on sample from swimming pool and whirlpool in washtenaw county michigan the result from the atp assay be compare with those from the conventional plate count method and be find to be highly correlate lrb r 92 rrb to assess whether a prefiltration step be necessary to delete nonbacterial atp which might originate from bather skin cell or other debris two procedure be test one with prefiltration and one without prefiltration the result for prefiltered sample be not statistically different from the result for nonprefiltered sample lrb p 05 rrb for both the heterotrophic plate count and the atp bioluminescence method this study indicate that the atp assay can estimate bacterial level in pool within minute and without prefiltration	J_Environ_Health.
14981644	lee deininger	detection of e coli in beach water within 1 hour using immunomagnetic separation and atp bioluminescence	the contamination of beach water occur from the discharge of storm water and sanitary sewer overflow contain faecal material additional faecal material derive from discharge of animal and waterfowl in order to protect public from exposure to faecalcontaminated water it be require to test enteric indicator in beach water the problem be that the traditional culturebased method can not meet this goal because it take too long lrb 24 h rrb so the result be not available until a day later a rapid method for testing beach water for escherichia coli within 1 h have be develop immunomagnetic separation lrb ims rrb and atp bioluminescence be use for selective capture and quantification respectively this rapid method be compare to the current method lrb mtec rrb use beach water sample the beach sample be prefilter with a 20 microm pore size filter in order to remove alga plant debris and large particle the result show that the prefiltration step do not trap the bacterium which be present in the original water sample the prefiltered water be then pass through a 045 microm pore size filter for concentration the deposit bacterium be resuspend and then mix with superparamagnetic polystyrene bead lrb diameter of 06 microm rrb that be coat with e coli antibody after ims the quantification of the e coli be do by atp bioluminescence the result obtain with imsatp bioluminescence correlate well with the plate count method lrb rsq 093 rrb the detection limit of the assay be about 20 cfu100 ml which be well below the us epa limit for recreational water the entire procedure can be complete in less than 1 hour the necessary equipment be portable and be test onsite	Luminescence.
15287006	lee deininger	a rapid screening method for the detection of viable spores in powder using bioluminescence	a rapid diagnosis of a biological threat in a powder sample be important for fi rst responder who have to make decision onsite the present culturebased method do not provide timely result which be a critical barrier for a quick response when a suspicious powder sample be find the atp bioluminescence method combine with a heat shock be investigate to determine the presence of spore in powder the result show that only sporecontaining powder sample provide a dramatic increase in the bioluminescence signal after the heat shock which induce germination of the spore various condition be test to fi nd the most effective and rapid germination procedure elevated temperature lrb 37 degree c and 50 degree c rrb be more effective in germination than room temperature at 50 degree c a doublestrength germinant be more effective in germination than the regular strength the 37 degree c15 min procedure induce the germination of spore most effectively while a 50 degree c2 min procedure provide reasonably high signal so it could make the entire procedure even faster lrb 5 min rrb the detection limit of the bioluminescence method be 100 spore	Luminescence.
20211742	lee kim	spectrum measurement of fast optical signal of neural activity in brain tissue and its theoretical origin	functional brain imaging technology have enable recent advance in understand human brain function in particular a noninvasive and fast optical technique will become one of the most promising tool for future study as a fundamental ex vivo study for the development of such a technique this paper demonstrate the spectral measurement of fast optical change associate with neural activity in bulk brain tissue for this purpose a highspeed confocal nearinfrared spectrometer be build and use the result verify that observe transient optical response lrb tor rrb be associate with neural activity by show that the following tor be concurrent and correlate with local field potential lrb lfp rrb tor disappear follow tetrodotoxin application and tor be reproducibly observe across preparation in addition the amplitude of tor be statistically significantly larger in longer wavelength lrb approximately 1200 nm rrb the time course of tor however be quite different from that of lfp since this difference imply that tor may originate not directly from the electric potential variation but from other neurophysiological event accompany excitation this paper test the hypothesis that tor be attribute to transient cellular volume change lrb tcvc rrb with no previous dynamic equation to elucidate such different temporal dynamics of the optical response a novel mathematical neuron model to describe tcvc be develop this neuron model along with finitedifference timedomain simulation show that tcvc and tor be similar in the temporal dynamics order of magnitude response direction and detectability in the bulk tissue thus support the hypothesis	Neuroimage.
22108978	lee srinivasan radhakrishnan boas	motion correction for phaseresolved dynamic optical coherence tomography imaging of rodent cerebral cortex	cardiac and respiratory motion in animal be the primary source of image quality degradation in dynamic imaging study especially when use phaseresolved imaging modality such as spectraldomain optical coherence tomography lrb sdoct rrb whose phase signal be very sensitive to movement of the sample this study demonstrate a method with which to compensate for motion artifact in dynamic sdoct imaging of the rodent cerebral cortex we observe that respiratory and cardiac motion mainly cause respectively bulk image shift lrb biss rrb and global phase fluctuation lrb gpf rrb a crosscorrelation maximizationbased shift correction algorithm be effective in suppress biss while gpf be significantly reduce by remove axial and lateral global phase variation in addition a nonorigincentered gpf correction algorithm be examine several combination of these algorithm be test to find a optimize approach that improve image stability from 05 to 08 in term of the crosscorrelation over 4 s of dynamic imaging and reduce phase noise by two order of magnitude in 8 voxel	Opt_Express.
23037374	lee wu jiang zhu boas	dynamic light scattering optical coherence tomography	we introduce a integration of dynamic light scattering lrb dls rrb and optical coherence tomography lrb oct rrb for highresolution 3d imaging of heterogeneous diffusion and flow dls analyze fluctuation in light scatter by particle to measure diffusion or flow of the particle and oct use coherence gate to collect light only scatter from a small volume for highresolution structural imaging therefore the integration of dls and oct enable highresolution 3d imaging of diffusion and flow we derive a theory under the assumption that static and move particle be mixed within the oct resolution volume and the move particle can exhibit either diffusive or translational motion base on this theory we develop a fitting algorithm to estimate dynamic parameter include the axial and transverse velocity and the diffusion coefficient we validate dlsoct measurement of diffusion and flow through numerical simulation and phantom experiment as a example application we perform dlsoct imaging of the living animal brain result in 3d map of the absolute and axial velocity the diffusion coefficient and the coefficient of determination	Opt_Express.
23403378	lee radhakrishnan wu daneshmand climov ayata boas	quantitative imaging of cerebral blood flow velocity and intracellular motility using dynamic light scatteringoptical coherence tomography	this paper describe a novel optical method for labelfree quantitative imaging of cerebral blood flow lrb cbf rrb and intracellular motility lrb im rrb in the rodent cerebral cortex this method be base on a technique that integrate dynamic light scattering lrb dls rrb and optical coherence tomography lrb oct rrb name dlsoct the technique measure both the axial and transverse velocity of cbf whereas conventional doppler oct measure only the axial one in addition the technique produce a threedimensional map of the diffusion coefficient quantify nontranslational motion in the dlsoct diffusion map we observe highdiffusion spot whose location highly correspond to neuronal cell body and whose diffusion coefficient agree with that of the motion of intracellular organelle report in vitro in the literature therefore the present method have enable for the first time to we knowledge labelfree imaging of the diffusionlike motion of intracellular organelle in vivo as a example application we use the method to monitor cbf and im during a brief ischemic stroke where we observe a induce persistent reduction in im despite the recovery of cbf after stroke this result support that the im measure in this study represent the cellular energy metabolismrelated active motion of intracellular organelle rather than free diffusion of intracellular macromolecule	J_Cereb_Blood_Flow_Metab.
